Diet,Transport,Electricity Usage (kWh),Vehicle Type,Vehicle Monthly Distance Km,Heating Energy Source,Energy efficiency,How Long TV PC Daily Hour,How Long Internet Daily Hour,Waste Bag Size,Waste Bag Weekly Count,How Many New Clothes Monthly,Frequency of Traveling by Air,CarbonEmission
pescatarian,private,60,diesel,6384,natural gas,No,11,18,medium,5,43,very frequently,3990
omnivore,private,66,petrol,5479,electricity,Sometimes,22,0,small,1,13,rarely,3463
vegan,private,66,hybrid,2584,electricity,Yes,16,12,extra large,6,8,frequently,2743
vegan,private,15,hybrid,6667,coal,Yes,0,10,small,1,45,frequently,2905
vegetarian,private,58.5,lpg,976,natural gas,No,11,17,small,3,20,never,1639
vegetarian,private,88.5,hybrid,2254,wood,Sometimes,18,23,small,2,32,frequently,2393
vegan,private,67.5,petrol,957,coal,Sometimes,16,13,medium,1,13,never,974
vegan,private,87,hybrid,4157,natural gas,Sometimes,24,10,medium,3,25,never,1915
vegetarian,private,39,lpg,5716,natural gas,Sometimes,9,8,large,6,19,rarely,2767
vegan,private,36,petrol,3263,coal,Yes,8,8,medium,6,48,rarely,4087
omnivore,private,69,diesel,8046,natural gas,No,15,16,small,6,43,very frequently,5583
vegan,private,54,lpg,2733,electricity,No,13,10,medium,1,33,never,1266
vegetarian,private,15,lpg,6767,wood,Yes,1,8,small,2,6,frequently,3529
omnivore,private,85.5,hybrid,2727,coal,Sometimes,18,21,large,2,22,very frequently,4340
vegetarian,private,85.5,electric,9805,electricity,Yes,18,21,large,2,0,never,725
vegetarian,private,10.5,petrol,3150,electricity,Yes,2,3,medium,2,27,very frequently,3730
vegan,private,90,hybrid,1546,coal,Yes,20,20,small,3,2,very frequently,2941
vegan,private,15,diesel,1996,coal,Sometimes,3,4,small,6,45,very frequently,3128
vegetarian,private,43.5,petrol,8291,coal,Sometimes,14,1,large,5,21,very frequently,6037
pescatarian,private,6,electric,5932,natural gas,Sometimes,2,0,extra large,7,14,never,1309
omnivore,private,46.5,lpg,5606,electricity,Sometimes,11,9,medium,3,19,rarely,2353
vegan,private,66,diesel,3000,wood,Sometimes,22,0,extra large,7,13,never,2252
omnivore,private,52.5,hybrid,680,natural gas,No,17,1,small,7,39,never,2146
pescatarian,private,73.5,diesel,3996,natural gas,No,24,1,large,3,8,very frequently,3022
vegan,private,25.5,lpg,3604,natural gas,Sometimes,6,5,large,1,44,rarely,2825
omnivore,private,67.5,hybrid,2525,coal,Yes,17,11,small,5,16,very frequently,2883
vegan,private,15,hybrid,5887,electricity,Sometimes,0,10,medium,4,29,frequently,2282
vegan,private,43.5,electric,3586,coal,No,4,21,small,5,11,rarely,1279
pescatarian,private,6,hybrid,7092,natural gas,Yes,2,0,medium,4,40,never,2319
omnivore,private,66,diesel,2956,coal,Sometimes,10,24,small,2,37,very frequently,3446
omnivore,private,72,hybrid,7567,electricity,Yes,20,8,small,6,35,very frequently,4377
vegetarian,private,9,diesel,3589,natural gas,Sometimes,3,0,small,5,30,frequently,2422
pescatarian,private,24,electric,8180,coal,Sometimes,8,0,large,3,17,frequently,1948
omnivore,private,40.5,hybrid,2024,coal,Sometimes,2,23,medium,5,25,never,2417
pescatarian,private,6,hybrid,5583,coal,Yes,2,0,medium,2,43,very frequently,2982
omnivore,private,36,diesel,8109,electricity,No,5,14,medium,4,23,rarely,3552
vegetarian,private,21,electric,5743,wood,Yes,1,12,extra large,4,5,rarely,1557
vegan,private,88.5,petrol,4994,coal,Sometimes,19,21,large,1,36,rarely,3534
vegan,private,85.5,lpg,4127,coal,Sometimes,18,21,medium,3,21,frequently,3717
pescatarian,private,76.5,petrol,8264,natural gas,Sometimes,19,13,extra large,2,14,rarely,4952
pescatarian,private,28.5,electric,6484,coal,Sometimes,0,19,extra large,7,37,frequently,2842
omnivore,private,49.5,petrol,7762,wood,Yes,14,5,extra large,6,6,rarely,4180
omnivore,private,42,petrol,4302,electricity,Sometimes,6,16,small,6,31,very frequently,4513
omnivore,private,48,diesel,7397,wood,Sometimes,6,20,extra large,7,17,frequently,4426
vegan,private,6,hybrid,3635,wood,Yes,1,2,large,2,11,never,1265
vegetarian,private,51,hybrid,6299,coal,No,8,18,medium,5,41,very frequently,3716
pescatarian,private,73.5,hybrid,6069,natural gas,No,20,9,medium,3,7,rarely,2330
omnivore,private,4.5,hybrid,2072,coal,No,1,1,medium,6,3,frequently,2138
vegetarian,private,64.5,diesel,6910,electricity,No,16,11,medium,3,32,very frequently,3230
vegan,private,55.5,hybrid,6258,coal,Yes,9,19,large,1,12,very frequently,3671
vegetarian,private,61.5,lpg,7094,wood,Sometimes,14,13,large,4,0,rarely,2840
omnivore,private,48,petrol,3967,electricity,Yes,4,24,small,1,0,rarely,2475
vegetarian,private,51,lpg,3581,natural gas,No,11,12,extra large,4,26,rarely,2320
omnivore,private,25.5,hybrid,477,natural gas,No,7,3,small,2,32,never,1455
vegan,private,39,electric,1825,coal,Yes,1,24,medium,2,27,frequently,1581
vegan,private,79.5,diesel,7955,coal,No,21,11,large,6,1,never,3065
pescatarian,private,93,electric,4360,coal,Sometimes,22,18,small,6,28,rarely,1868
omnivore,private,90,diesel,8057,natural gas,Sometimes,20,20,extra large,1,0,never,2790
omnivore,private,69,lpg,6654,electricity,No,15,16,extra large,1,44,very frequently,4437
vegetarian,private,12,diesel,166,wood,Yes,2,4,medium,5,1,frequently,1088
vegetarian,private,76.5,hybrid,3746,coal,Yes,15,21,medium,1,16,very frequently,3313
vegetarian,private,55.5,petrol,8432,wood,Yes,14,9,extra large,6,14,frequently,5439
vegetarian,private,55.5,diesel,1216,natural gas,Yes,10,17,medium,3,15,frequently,1566
omnivore,private,15,lpg,3103,electricity,Yes,5,0,small,6,0,rarely,1561
vegetarian,private,85.5,petrol,5779,electricity,Sometimes,21,15,medium,7,10,very frequently,3963
omnivore,private,19.5,electric,216,electricity,Yes,5,3,extra large,7,16,very frequently,2558
pescatarian,private,72,electric,1066,natural gas,Yes,18,12,large,6,4,never,1043
pescatarian,private,66,electric,8162,natural gas,No,15,14,small,7,7,frequently,1702
vegetarian,private,75,petrol,6296,natural gas,Sometimes,14,22,small,7,4,rarely,3927
pescatarian,private,21,hybrid,2670,coal,Sometimes,4,6,extra large,1,26,very frequently,3202
vegan,private,55.5,diesel,8585,electricity,No,16,5,large,3,2,very frequently,4414
vegetarian,private,63,lpg,4444,natural gas,No,21,0,small,6,28,very frequently,3257
vegan,private,84,diesel,3956,wood,Sometimes,16,24,small,7,46,very frequently,3247
vegan,private,31.5,lpg,7337,wood,No,6,9,small,5,32,frequently,4845
pescatarian,private,70.5,electric,7475,wood,Sometimes,18,11,medium,4,35,very frequently,2118
omnivore,private,25.5,electric,5608,natural gas,Sometimes,4,9,medium,1,12,never,1236
vegan,private,58.5,lpg,7148,wood,Yes,14,11,small,3,0,frequently,3530
pescatarian,private,51,electric,8148,coal,Sometimes,12,10,small,2,5,frequently,1559
vegan,private,55.5,lpg,2722,coal,Yes,11,15,medium,4,11,frequently,2431
omnivore,private,60,lpg,3624,wood,Yes,18,4,medium,5,32,rarely,3122
omnivore,private,108,electric,5875,coal,No,24,24,large,2,47,never,1887
vegan,private,67.5,diesel,7226,coal,No,19,7,medium,5,27,never,3197
omnivore,private,102,electric,7916,wood,No,23,22,small,1,16,never,768
vegan,private,76.5,hybrid,6474,coal,Yes,14,23,large,5,6,frequently,3583
vegan,private,36,lpg,8442,coal,Yes,12,0,medium,7,14,rarely,4346
pescatarian,private,70.5,hybrid,5259,electricity,Sometimes,15,17,extra large,7,43,rarely,3300
vegetarian,private,75,petrol,1069,wood,Yes,24,2,medium,4,39,frequently,2091
omnivore,private,61.5,petrol,3271,natural gas,Yes,20,1,medium,3,38,very frequently,3466
vegetarian,private,70.5,petrol,4731,electricity,Sometimes,16,15,extra large,4,33,very frequently,4813
omnivore,private,60,hybrid,2886,natural gas,No,13,14,small,1,23,never,1555
vegetarian,private,22.5,electric,4113,coal,Yes,1,13,large,3,37,frequently,2268
pescatarian,private,40.5,electric,5626,electricity,Sometimes,7,13,small,2,4,never,511
omnivore,private,88.5,diesel,9246,coal,No,24,11,large,6,13,rarely,4858
pescatarian,private,30,hybrid,9142,wood,Sometimes,7,6,extra large,2,27,frequently,3594
omnivore,private,15,electric,7760,wood,Sometimes,0,10,medium,6,27,rarely,1506
omnivore,private,40.5,lpg,7809,coal,No,11,5,large,5,24,never,3070
pescatarian,private,45,petrol,3637,electricity,No,9,12,large,5,13,frequently,2908
vegan,private,82.5,diesel,6474,coal,Yes,20,15,small,5,3,rarely,2410
omnivore,private,39,electric,8405,electricity,Sometimes,7,12,medium,2,26,never,1392
vegetarian,private,30,electric,369,electricity,Yes,1,18,large,4,33,very frequently,2869
omnivore,private,57,hybrid,9088,natural gas,Sometimes,14,10,medium,7,38,frequently,3214
pescatarian,private,43.5,lpg,3018,wood,Sometimes,11,7,small,1,21,very frequently,3552
pescatarian,private,61.5,hybrid,3403,wood,Yes,15,11,small,1,35,never,2065
vegetarian,private,36,lpg,289,wood,Yes,0,24,small,1,18,very frequently,2681
vegetarian,private,66,diesel,9237,coal,Sometimes,15,14,large,2,34,very frequently,5884
pescatarian,private,25.5,hybrid,9041,natural gas,Sometimes,3,11,medium,1,46,very frequently,4706
vegan,private,42,lpg,7423,coal,Yes,4,20,extra large,4,6,frequently,3906
omnivore,private,58.5,electric,6292,wood,Yes,16,7,medium,2,36,very frequently,3604
vegan,private,69,lpg,9818,coal,Yes,15,16,medium,1,19,frequently,4990
omnivore,private,73.5,diesel,2195,electricity,Sometimes,24,1,extra large,5,32,very frequently,2745
omnivore,private,75,diesel,6573,natural gas,No,15,20,medium,6,43,rarely,3542
pescatarian,private,87,diesel,8592,electricity,Yes,24,10,small,5,10,frequently,3198
pescatarian,private,96,hybrid,5320,electricity,No,21,22,small,5,42,rarely,2050
pescatarian,private,33,electric,5847,electricity,Yes,8,6,extra large,4,37,never,1482
pescatarian,private,9,electric,2010,natural gas,No,0,6,large,5,26,very frequently,3439
vegan,private,64.5,lpg,1295,electricity,Yes,21,1,large,6,8,rarely,1742
omnivore,private,103.5,electric,4208,natural gas,No,24,21,medium,1,1,very frequently,1916
vegan,private,63,diesel,9597,wood,No,20,2,large,1,7,never,3307
omnivore,private,33,hybrid,6119,electricity,Yes,9,4,medium,6,14,never,2085
omnivore,private,45,petrol,7973,natural gas,Sometimes,8,14,large,1,25,never,4684
omnivore,private,13.5,lpg,1505,electricity,Yes,3,3,large,3,14,frequently,1761
pescatarian,private,63,lpg,9982,wood,Yes,19,4,small,6,1,very frequently,5069
vegetarian,private,40.5,petrol,9146,natural gas,No,6,15,extra large,2,2,rarely,4045
omnivore,private,73.5,petrol,8453,electricity,Sometimes,13,23,medium,3,31,never,3867
vegan,private,48,petrol,7955,natural gas,Yes,12,8,extra large,6,13,very frequently,5687
omnivore,private,28.5,electric,7676,coal,No,6,7,large,3,39,very frequently,2499
vegetarian,private,37.5,lpg,315,natural gas,Sometimes,6,13,small,3,10,never,866
omnivore,private,34.5,electric,1299,coal,Yes,9,5,medium,6,2,very frequently,3361
vegan,private,57,petrol,5676,electricity,Yes,8,22,small,2,44,very frequently,4338
vegan,private,67.5,petrol,7968,coal,Yes,11,23,extra large,3,41,rarely,4950
vegan,private,105,lpg,3443,natural gas,Yes,23,24,small,4,46,never,3041
omnivore,private,84,lpg,1239,natural gas,Sometimes,19,18,medium,5,4,rarely,1596
pescatarian,private,75,electric,7189,coal,Yes,17,16,medium,2,12,rarely,1589
omnivore,private,22.5,petrol,2165,electricity,No,0,15,extra large,4,21,rarely,2572
omnivore,private,63,petrol,7063,wood,Yes,20,2,small,4,16,frequently,4136
vegetarian,private,84,electric,6113,natural gas,Sometimes,18,20,small,7,9,very frequently,1951
pescatarian,private,61.5,lpg,1430,electricity,Sometimes,16,9,small,7,47,frequently,2330
vegetarian,private,42,diesel,5157,coal,No,6,16,extra large,2,20,very frequently,3842
pescatarian,private,94.5,hybrid,830,wood,Sometimes,20,23,extra large,7,44,rarely,2441
vegan,private,60,diesel,1597,electricity,Sometimes,9,22,large,5,0,very frequently,3147
vegetarian,private,66,lpg,7044,wood,Yes,15,14,small,5,26,rarely,3143
pescatarian,private,43.5,hybrid,9604,wood,Yes,12,5,extra large,1,1,very frequently,3572
vegetarian,private,42,electric,9259,coal,Sometimes,13,2,large,4,9,rarely,1711
vegan,private,57,diesel,2883,coal,No,11,16,large,1,11,rarely,2068
omnivore,private,91.5,lpg,1715,natural gas,Yes,24,13,medium,7,9,never,1371
vegan,private,69,electric,465,coal,Yes,19,8,extra large,4,47,very frequently,3231
omnivore,private,76.5,hybrid,9683,coal,No,18,15,extra large,7,19,frequently,5176
vegan,private,25.5,petrol,8916,coal,Sometimes,8,1,small,4,13,never,4640
pescatarian,private,79.5,lpg,7871,electricity,Yes,20,13,medium,1,6,frequently,2775
vegetarian,private,90,hybrid,5846,coal,No,23,14,small,1,24,very frequently,3610
pescatarian,private,55.5,lpg,6590,natural gas,Sometimes,7,23,small,7,22,frequently,3052
omnivore,private,91.5,lpg,7513,electricity,Sometimes,19,23,small,7,35,very frequently,4580
vegetarian,private,87,hybrid,5557,wood,Yes,22,14,extra large,6,26,very frequently,3258
vegan,private,30,diesel,5792,electricity,Yes,1,18,large,3,32,never,3129
vegan,private,21,lpg,1222,electricity,Yes,5,4,large,3,32,frequently,2130
vegetarian,private,67.5,lpg,2363,coal,Yes,16,13,large,2,42,frequently,2746
vegan,private,63,hybrid,2740,natural gas,Sometimes,9,24,small,3,17,never,1381
vegetarian,private,6,lpg,942,wood,Yes,2,0,small,1,34,frequently,2147
omnivore,private,51,electric,7699,natural gas,Yes,15,4,medium,2,37,very frequently,3038
pescatarian,private,73.5,hybrid,7724,wood,No,13,23,small,4,11,very frequently,3725
vegan,private,105,electric,8406,electricity,Sometimes,24,22,small,1,4,rarely,606
pescatarian,private,54,lpg,8773,wood,Yes,17,2,extra large,6,34,very frequently,6093
vegetarian,private,87,diesel,3731,wood,Sometimes,22,14,extra large,3,49,frequently,4130
vegan,private,66,electric,8155,wood,Yes,13,18,large,6,47,frequently,2935
vegan,private,46.5,lpg,9425,electricity,No,9,13,large,1,22,never,3495
vegetarian,private,52.5,petrol,3150,wood,Yes,8,19,extra large,3,49,frequently,3425
vegetarian,private,28.5,diesel,3220,coal,Sometimes,9,1,large,2,49,frequently,2686
omnivore,private,37.5,electric,298,electricity,Sometimes,7,11,small,1,19,rarely,1009
omnivore,private,70.5,diesel,502,coal,Sometimes,14,19,large,5,1,very frequently,3218
pescatarian,private,60,diesel,1743,electricity,Yes,20,0,small,1,37,frequently,2281
omnivore,private,40.5,diesel,3974,coal,Yes,5,17,extra large,7,25,frequently,3482
omnivore,private,46.5,diesel,3080,coal,Yes,6,19,small,6,30,never,2542
vegan,private,73.5,diesel,4334,electricity,No,14,21,small,2,31,never,2386
omnivore,private,24,lpg,2352,electricity,No,1,14,medium,6,1,rarely,1991
vegetarian,private,40.5,hybrid,8443,wood,Sometimes,3,21,medium,1,19,frequently,3202
vegan,private,100.5,diesel,9969,coal,Sometimes,24,19,small,3,28,very frequently,4350
vegetarian,private,72,diesel,9844,natural gas,Sometimes,13,22,small,5,24,frequently,4570
vegetarian,private,48,electric,3711,coal,No,8,16,medium,5,19,rarely,1761
vegan,private,91.5,hybrid,4132,coal,Yes,20,21,extra large,1,38,never,2309
vegetarian,private,31.5,lpg,9122,electricity,Yes,2,17,medium,1,42,frequently,3542
pescatarian,private,25.5,lpg,1812,natural gas,No,7,3,extra large,4,22,frequently,2070
vegan,private,12,hybrid,5815,natural gas,Yes,2,4,medium,2,27,very frequently,3261
pescatarian,private,45,petrol,6507,wood,No,15,0,extra large,2,20,never,4220
omnivore,private,78,hybrid,8951,electricity,No,14,24,extra large,7,40,very frequently,5474
omnivore,private,13.5,petrol,2620,electricity,Sometimes,4,1,extra large,7,5,frequently,2865
omnivore,private,48,hybrid,6615,electricity,Yes,5,22,extra large,5,14,frequently,4178
omnivore,private,87,petrol,5009,natural gas,Yes,21,16,medium,4,42,rarely,3223
pescatarian,private,37.5,petrol,7493,natural gas,No,10,5,medium,1,34,very frequently,6438
omnivore,private,106.5,hybrid,4045,electricity,Sometimes,24,23,large,4,36,very frequently,3166
vegetarian,private,91.5,petrol,6014,electricity,No,22,17,small,1,3,frequently,3397
omnivore,private,39,diesel,9089,coal,Sometimes,5,16,extra large,2,23,never,4144
pescatarian,private,87,electric,1018,coal,Sometimes,17,24,small,2,43,frequently,1999
vegan,private,87,lpg,9953,wood,Yes,18,22,large,6,40,rarely,5416
pescatarian,private,51,lpg,6415,natural gas,Yes,9,16,extra large,1,42,very frequently,5267
pescatarian,private,58.5,petrol,6229,natural gas,No,13,13,medium,3,2,rarely,3234
omnivore,private,58.5,hybrid,4193,wood,Yes,14,11,extra large,4,25,frequently,2263
vegetarian,private,36,lpg,135,coal,No,9,6,medium,3,1,very frequently,2373
pescatarian,private,79.5,diesel,3983,coal,Yes,22,9,medium,4,26,rarely,2307
pescatarian,private,51,diesel,8328,electricity,Sometimes,12,10,extra large,3,11,frequently,3164
vegan,private,15,lpg,8163,natural gas,No,2,6,medium,2,38,very frequently,4615
pescatarian,private,72,electric,2728,coal,No,24,0,extra large,3,38,never,2141
omnivore,private,25.5,electric,3695,wood,No,3,11,medium,5,0,very frequently,1894
vegetarian,private,63,hybrid,7678,wood,No,17,8,small,7,32,very frequently,3708
vegan,private,90,hybrid,3252,electricity,No,20,20,large,1,28,rarely,1422
vegan,private,61.5,petrol,3038,electricity,No,9,23,medium,2,19,rarely,2764
omnivore,private,46.5,lpg,7367,coal,Yes,14,3,extra large,6,37,very frequently,5696
pescatarian,private,30,lpg,6738,wood,Sometimes,2,16,large,4,43,very frequently,6355
pescatarian,private,58.5,petrol,5067,coal,Yes,12,15,small,1,4,never,2983
pescatarian,private,70.5,diesel,6972,natural gas,Yes,12,23,large,1,13,never,2632
vegan,private,49.5,diesel,9351,wood,No,11,11,medium,3,3,frequently,3844
omnivore,private,64.5,lpg,9811,natural gas,Yes,16,11,large,3,24,frequently,3898
pescatarian,private,36,hybrid,5618,coal,Yes,3,18,small,6,12,never,1758
omnivore,private,73.5,petrol,5872,coal,Sometimes,21,7,large,3,24,rarely,3627
pescatarian,private,22.5,electric,1921,natural gas,Sometimes,5,5,large,2,15,frequently,1892
vegan,private,102,lpg,4730,electricity,Yes,23,22,small,4,19,frequently,2210
omnivore,private,42,electric,9149,electricity,Sometimes,4,20,large,5,23,frequently,2260
pescatarian,private,82.5,petrol,3962,wood,Sometimes,16,23,small,6,44,rarely,2799
vegan,private,61.5,petrol,2622,natural gas,No,15,11,large,4,0,rarely,1782
vegan,private,51,electric,6933,coal,Sometimes,6,22,large,7,42,frequently,2790
vegan,private,64.5,hybrid,2314,natural gas,No,13,17,extra large,5,8,very frequently,3816
omnivore,private,48,lpg,9857,coal,Sometimes,15,2,extra large,6,21,rarely,6233
pescatarian,private,34.5,petrol,2799,coal,Yes,7,9,medium,5,16,frequently,3363
vegetarian,private,57,petrol,9947,coal,Sometimes,11,16,medium,3,43,very frequently,5557
vegetarian,private,42,petrol,8270,coal,Sometimes,10,8,extra large,4,18,rarely,3751
pescatarian,private,96,electric,5589,electricity,No,24,16,medium,2,41,very frequently,2056
vegetarian,private,28.5,petrol,5562,wood,Sometimes,4,11,small,7,15,very frequently,3969
omnivore,private,94.5,electric,3632,coal,Yes,22,19,small,7,18,rarely,2014
pescatarian,private,39,hybrid,2991,electricity,Sometimes,10,6,extra large,1,5,frequently,1740
pescatarian,private,66,hybrid,8099,wood,Yes,13,18,small,1,0,very frequently,2924
vegetarian,private,15,lpg,2683,electricity,No,3,4,extra large,3,2,rarely,1656
vegan,private,48,hybrid,6802,natural gas,No,5,22,extra large,4,21,very frequently,4154
pescatarian,private,84,petrol,2336,coal,Sometimes,20,16,small,1,43,never,2400
pescatarian,private,63,petrol,294,wood,No,12,18,small,7,22,never,1299
vegetarian,private,82.5,lpg,768,natural gas,Yes,23,9,medium,4,30,very frequently,2961
omnivore,private,49.5,lpg,2264,natural gas,No,5,23,small,6,35,frequently,3303
omnivore,private,63,electric,4327,wood,Yes,20,2,large,2,30,never,1193
vegan,private,13.5,hybrid,2976,wood,Sometimes,0,9,extra large,1,14,very frequently,2746
pescatarian,private,28.5,petrol,1807,electricity,Yes,1,17,small,4,6,frequently,1985
vegetarian,private,91.5,diesel,8358,wood,Sometimes,24,13,extra large,6,36,rarely,3301
vegetarian,private,39,electric,2705,electricity,Yes,6,14,extra large,2,41,frequently,2080
vegan,private,25.5,diesel,9156,electricity,No,0,17,medium,1,10,very frequently,4232
vegan,private,51,electric,6465,coal,Sometimes,7,20,small,7,1,never,919
vegan,private,49.5,diesel,9198,natural gas,No,5,23,small,4,33,never,3238
omnivore,private,69,petrol,7723,wood,Sometimes,23,0,large,4,3,very frequently,5279
omnivore,private,82.5,petrol,3227,natural gas,No,16,23,medium,7,47,frequently,3122
omnivore,private,54,lpg,8526,wood,Sometimes,10,16,extra large,6,23,very frequently,5516
vegan,private,10.5,petrol,7363,electricity,Sometimes,0,7,large,6,20,frequently,4480
vegan,private,42,diesel,5794,electricity,Yes,6,16,small,2,18,rarely,2969
vegetarian,private,91.5,petrol,1126,wood,Yes,20,21,small,3,47,very frequently,2803
vegan,private,67.5,petrol,11,coal,Sometimes,22,1,large,6,3,never,1270
pescatarian,private,39,petrol,1616,coal,Yes,6,14,small,2,11,frequently,2143
pescatarian,private,78,diesel,570,wood,Yes,16,20,small,5,18,rarely,1265
pescatarian,private,31.5,hybrid,3160,electricity,No,9,3,large,2,16,rarely,1688
omnivore,private,58.5,diesel,7321,wood,Yes,12,15,medium,6,12,frequently,2817
vegan,private,54,hybrid,4273,coal,No,17,2,large,4,40,rarely,2386
vegan,private,73.5,petrol,5844,natural gas,Yes,15,19,extra large,6,40,rarely,3866
pescatarian,private,75,lpg,9280,natural gas,Sometimes,21,8,large,2,37,very frequently,5238
vegan,private,24,electric,5917,coal,Yes,6,4,large,6,47,very frequently,3328
omnivore,private,84,diesel,3498,natural gas,Yes,21,14,extra large,1,14,rarely,1697
vegetarian,private,57,hybrid,4023,electricity,No,16,6,extra large,5,35,frequently,2904
vegetarian,private,19.5,lpg,7657,electricity,Yes,2,9,large,4,27,never,3038
pescatarian,private,21,petrol,8406,wood,Sometimes,4,6,medium,4,5,rarely,4761
vegan,private,36,diesel,4130,natural gas,Yes,12,0,extra large,4,19,rarely,2808
vegan,private,81,electric,4004,coal,No,18,18,medium,4,17,never,1674
pescatarian,private,13.5,electric,7726,natural gas,Yes,2,5,small,3,42,frequently,2006
vegetarian,private,25.5,petrol,9324,wood,Yes,6,5,small,7,23,never,4456
vegan,private,85.5,diesel,6317,wood,Sometimes,24,9,small,2,46,very frequently,4423
omnivore,private,72,hybrid,159,coal,No,23,2,large,3,19,frequently,2155
vegan,private,64.5,diesel,1272,natural gas,No,16,11,medium,5,4,never,1731
omnivore,private,64.5,electric,1123,wood,Yes,16,11,large,2,8,never,1395
omnivore,private,49.5,hybrid,1444,electricity,No,12,9,medium,5,10,rarely,1454
vegetarian,private,33,hybrid,1702,wood,Sometimes,9,4,medium,7,29,very frequently,3289
pescatarian,private,42,lpg,6906,electricity,No,4,20,large,4,26,rarely,3046
vegetarian,private,30,diesel,9446,wood,Sometimes,1,18,large,3,21,very frequently,4042
omnivore,private,64.5,diesel,4244,coal,No,20,3,extra large,1,31,frequently,2894
pescatarian,private,40.5,diesel,2466,coal,No,12,3,small,7,9,very frequently,2631
pescatarian,private,69,petrol,2388,electricity,No,22,2,large,3,39,never,2362
omnivore,private,64.5,lpg,3400,wood,Yes,10,23,small,6,0,very frequently,3731
vegan,private,64.5,diesel,2451,coal,Yes,20,3,small,7,14,rarely,2055
pescatarian,private,75,electric,9197,wood,No,24,2,medium,5,46,very frequently,3270
vegetarian,private,76.5,diesel,3316,natural gas,No,14,23,large,6,11,rarely,2458
omnivore,private,58.5,lpg,6807,electricity,Sometimes,11,17,large,6,46,frequently,4709
pescatarian,private,82.5,lpg,7460,electricity,No,18,19,extra large,6,30,very frequently,4264
vegan,private,49.5,electric,5108,wood,Yes,5,23,medium,3,0,very frequently,1975
vegetarian,private,54,lpg,1452,electricity,No,6,24,extra large,4,18,never,1619
omnivore,private,37.5,diesel,5013,electricity,No,9,7,large,3,36,very frequently,3961
omnivore,private,33,hybrid,2392,electricity,No,10,2,medium,4,34,very frequently,2929
vegan,private,85.5,hybrid,3364,electricity,Sometimes,20,17,small,1,16,never,1037
omnivore,private,94.5,petrol,6372,coal,Yes,22,19,small,1,4,never,3737
vegan,private,49.5,hybrid,4354,coal,Sometimes,16,1,extra large,1,44,very frequently,3766
pescatarian,private,85.5,diesel,4242,coal,Sometimes,17,23,medium,5,9,never,2859
pescatarian,private,85.5,electric,1015,wood,No,17,23,small,7,16,very frequently,2506
pescatarian,private,46.5,lpg,5437,wood,Yes,10,11,large,1,23,never,2608
vegan,private,66,lpg,5891,wood,Yes,19,6,small,2,11,frequently,2538
omnivore,private,85.5,diesel,9487,coal,Yes,24,9,small,7,18,rarely,4261
omnivore,private,69,petrol,5737,coal,Sometimes,11,24,extra large,4,4,very frequently,5565
omnivore,private,84,hybrid,6770,electricity,Yes,16,24,extra large,5,2,rarely,2459
pescatarian,private,37.5,diesel,9523,coal,Yes,11,3,extra large,2,35,never,4822
omnivore,private,78,petrol,5131,wood,Sometimes,14,24,small,4,6,rarely,3153
vegetarian,private,33,electric,6685,natural gas,No,6,10,large,7,10,rarely,1372
omnivore,private,64.5,lpg,58,coal,No,12,19,small,3,22,never,1372
vegetarian,private,66,lpg,4717,electricity,No,13,18,large,3,4,never,2412
vegan,private,73.5,electric,1187,wood,Sometimes,20,9,small,6,18,very frequently,2358
pescatarian,private,63,electric,7195,natural gas,No,17,8,extra large,3,23,frequently,1899
omnivore,private,51,electric,5476,natural gas,Sometimes,6,22,large,4,37,never,1541
vegetarian,private,39,diesel,578,electricity,No,5,16,small,5,2,frequently,1384
pescatarian,private,43.5,hybrid,8768,electricity,Yes,13,3,large,4,4,rarely,2342
vegetarian,private,21,electric,4661,natural gas,No,3,8,small,7,5,very frequently,2002
vegan,private,87,hybrid,8679,natural gas,Yes,20,18,large,6,19,frequently,3891
vegan,private,61.5,petrol,6761,coal,Sometimes,17,7,small,1,41,never,4016
omnivore,private,52.5,hybrid,2076,coal,Sometimes,10,15,extra large,6,20,rarely,2967
pescatarian,private,84,lpg,2829,wood,Yes,16,24,extra large,1,42,frequently,2639
omnivore,private,42,petrol,6652,electricity,No,4,20,small,1,6,never,3328
omnivore,private,93,electric,1134,wood,Yes,21,20,medium,4,17,never,1400
vegetarian,private,61.5,electric,646,wood,Sometimes,9,23,medium,3,33,very frequently,2481
pescatarian,private,34.5,petrol,5210,electricity,Yes,2,19,extra large,2,13,very frequently,3326
vegan,private,63,lpg,7074,coal,Yes,17,8,extra large,4,8,never,2783
omnivore,private,67.5,hybrid,6068,natural gas,Yes,21,3,small,3,30,never,3281
omnivore,private,70.5,lpg,9950,wood,No,21,5,large,7,45,rarely,5029
pescatarian,private,54,lpg,3811,coal,Sometimes,9,18,medium,6,49,very frequently,4594
omnivore,private,63,petrol,2915,electricity,Sometimes,11,20,large,7,45,rarely,3071
vegetarian,private,33,electric,4763,natural gas,Yes,2,18,small,2,40,never,1024
vegetarian,private,13.5,electric,3940,natural gas,Sometimes,3,3,extra large,4,34,frequently,1875
pescatarian,private,52.5,diesel,3689,wood,Yes,7,21,medium,6,37,frequently,3231
pescatarian,private,91.5,diesel,278,wood,No,20,21,large,1,4,frequently,1436
vegetarian,private,21,diesel,4623,coal,No,7,0,small,5,18,frequently,2598
